division;clase;subclase;orden;familia;aceptado;genero;especie;Variedad;Subespecie;autor;nombre;clasificacion;basionimo;endemica;zona_vdw;paises_andinotropicales;distribucion_mundial;ecorregion;ecosistema;habito;sustrato;Lista Roja mundial;CategoriaIUCN;CriterioIUCN;AutorCriterio;Revision;Revisor;FechaRevision;Comentarios
Bryophyta;Bryopsida;Dicranidae;Grimmiales;Seligeraceae;1;Rigodium;toxarion;;;(Schwägr.) A. Jaeger;Rigodium toxarion;6;;0;Am 2, Am 3, Am 4, Am 5, Am 6, Afr 2, Afr 3, Afr 4.;;Costa Rica,  Colombia. Venezuela,  Perú,  Bolivia,  Ecuador. Venezuela 2750-3600 mts;;;;;;;;;;;;En Pittier 1936 como Rigodium solutum (Taylor) Paris
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Blindia;magellanica;;;Schimp.;Blindia magellanica;6;;0;Am 4, Am 5, Am 6, Afr 4, As 4, Austr 1, Austr 2.;;Venezuela,  Colombia,  Ecuador,  Bolivia;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Acroporium;esmeraldicum;;;(Müll. Hal.) W. R. Buck;Acroporium esmeraldicum;6;;0;Am 4.;Venezuela, Ecuador y Bolivia;"Venezuela, Bolivia,  Ecuador. Ecuador  High montane cloud forest and shrubby páramo and puna; epiphytic,  on trunks and branches of treelets and shrubs. Tropical Andes,  at elevations from 2930-3700 m Venezuela: 2930-3700 m,  Ecuador: ? m,  Bolivia: 3050-3440 m.";;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Acroporium;estrellae;;;(Müll. Hal) W.R. Buck & Schälp;Acroporium estrellae;6;;0;Am 2, Am 3, Am 4, Am 5.;;Venezuela,  Colombia,  Ecuador,  Bolivia,  Perú;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Acroporium;pungens;;;(Hedw.) Broth.;Acroporium pungens;6;;0;Am 2, Am 3, Am 4, Am 5.;;Venezuela,  Colombia,  Ecuador,  Bolivia,  Perú;;;Epífito;Rama, Tronco;;;;;;;;En Pittier 1936 como Sematophyllum pungens (Hedw.) Mitt.
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Aptychella;proligera;;;(Broth.) Herzog;Aptychella proligera;6;;0;Am 2, Am 3, Am 4, Am 5.;;Colombia, Ecuador , Venezuela,  Bolivia,  Perú. Ecuador  2940-3750 mts;;;Epífito;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Clastobryum;pungens;;;(Müll. Hal.) Tixier;Clastobryum pungens;6;;0;;;;;;;;;;;;;;;En Pittier 1936 como Schraderella pungens Müll. Hal.
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Colobodontium;vulpinum;;;(Mont.) S. P. Churchill & W. R. Buck;Colobodontium vulpinum;6;;0;Am 4, Am 5.;;Brasil, Colombia, Ecuador, Perú, Surinam, Venezuela;;;;;;;;;;;;En Pursell 1973 como Potamium vulpinum (Mont.) Mitt.
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Meiothecium;boryanum;;;(Müll. Hal.) Mitt.;Meiothecium boryanum;6;;0;Am 3, Am 4, Am 5;;;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Meiothecium;revolubile;;;Mitt.;Meiothecium revolubile;6;;0;Am 4.;Venezuela y Colombia;;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Pterogonidium;pulchellum;;;(Hook.) Müll. Hal.;Pterogonidium pulchellum;6;;0;Am 2, Am 3, Am 4, Am 5.;;Venezuela,  Colombia,  Ecuador,  Bolivia,  Perú;;;;;;;;;;;;En Pittier 1936 como Pterogonidium casiquiariense (Spruce ex Mitt.) Broth.
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Rhaphidorrhynchium;amoenum;;;(Hedw.) M. Fleisch.;Rhaphidorrhynchium amoenum;6;;0;;;;;;;;;;;;;;;En Pittier 1936 como Sematophyllum amoenum (Hedw.) Mitt.
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Rhaphidorrhynchium;decurvifolium;;;(Mitt.) Broth.;Rhaphidorrhynchium decurvifolium;6;;0;;;;;;;;;;;;;;;Como Sematophyllum decurvifolium Mitt. en Churchill & al 2000
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Rhaphidorrhynchium;oblique-rostratum;;;(Mitt.) Broth.;Rhaphidorrhynchium oblique-rostratum;6;;0;;;;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Rhaphidorrhynchium;sanguisetum;;;(Müll. Hal.) Broth.;Rhaphidorrhynchium sanguisetum;6;;1;Am 4.;Venezuela;Venezuela;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Rhaphidorrhynchium;trichostegum;;;(Müll. Hal.) Broth.;Rhaphidorrhynchium trichostegum;6;;1;Am 4.;Venezuela;Venezuela;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Rhaphidostichum;elegans;;;H. Rob.;Rhaphidostichum elegans;6;;1;Am 4.;Venezuela;Venezuela;;;;;Venezuela;VU;D2;León et al. 2013a;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Sematophyllum;adnatum;;;(Michx) E. Britton;Sematophyllum adnatum;6;;0;Am 1, Am 2, Am 3, Am 4, Am 5;;;;;;;;;;;;;;En Pittier 1936 como Sematophyllum constrictum Mitt.
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Sematophyllum;aureosulfureum;;;(Müll. Hal.) Broth.;Sematophyllum aureosulfureum;6;;0;Am 4.;Venezuela y Colombia;Colombia, Perú , Colombia. Infrequent, at elevations from 2650-3690 m (Venezuela: 3400 m, Colombia: 2650-3690 m).;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Sematophyllum;chlorocormum;;;(Müll. Hal.) W. R. Buck, S. P. Churchill & I. Sastre;Sematophyllum chlorocormum;6;;0;Am 4.;Colombia, Bolivia y Venezuela.;Venezuela;Andes;;Saxícola;;;;;;;;;Sobre afloramientos rocosos al lado de una quebrada.
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Sematophyllum;chrysostegum;;;(Müll. Hal.) Mitt.;Sematophyllum chrysostegum;6;;0;Am 4.;Venezuela, Colombia y Bolivia;Venezuela,  Colombia y Bolivia;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Sematophyllum;cuspidiferum;;;Mitt.;Sematophyllum cuspidiferum;6;;0;Am 2, Am 3, Am 4.;;Venezuela,  Colombia,  Ecuador,  Bolivia;;;Saxícola;Roca;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Sematophyllum;cyparissoides;;;(Hornsch.) R.S. Williams;Sematophyllum cyparissoides;6;;0;Am 4, Am 5.;;Venezuela,  Colombia;;;Epífito;Tronco;;;;;;;;En Moreno 1990 y Robinson 1967 como Rhaphidorrhynchium cyparissoides (Hornsch.) Broth. En tronco de la Selva Húmeda
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Sematophyllum;decumbens;;;Mitt.;Sematophyllum decumbens;6;;0;Am 2, Am 4, Am 5.;;;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Sematophyllum;erythropodium;;;Mitt.;Sematophyllum erythropodium;6;;0;Am 4.;;Colombia, Venezuela;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Sematophyllum;flaccidifolium;;;(Müll. Hal.) Mitt.;Sematophyllum flaccidifolium;6;;0;Am 4, Am 5.;;;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Sematophyllum;flavidum;;;Mitt.;Sematophyllum flavidum;6;;0;;;;;;;;Colombia;VU;D2;Linares & Uribe 2002;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematopyllaceae;1;Sematophyllum;galipense;;;(Müll. Hal.) Mitt.;Sematophyllum galipense;6;;0;Am 2, Am 3, Am 4, Am 5.;;Belice, Bolivia, Brasil, República Dominicana, Jamaica, Guatemala, Nicaragua, Islas de Barlovento, Puerto Rico, Colombia, Ecuador, Honduras, México, Panamá, Paraguay, Perú, Surinam, Venezuela;;;Epífito, Saxícola;Tronco # Roca;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Sematophyllum;lithophilum;;;(Hornsch.) Ångström;Sematophyllum lithophilum;6;;0;;;;;;Epífito;Tronco;;;;;;;;En Pittier 1936 como Sematophyllum loxense var. lithophilum (Hornsch.) Lindb.
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Sematophyllum;lonchophyllum;;;(Mont.) J. Florsch.;Sematophyllum lonchophyllum;6;;0;Am 4, Am 5.;;Venezuela,  Colombia,  Bolivia;;;;;;;;;;;;En Churchill et al. 2000 y Tropicos como de Potamium lonchophyllum (Mont.) Mitt)
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;0;Sematophyllum;loxense;;;(Hook.) Mitt.;Sematophyllum loxense;6;;0;Am 2, Am 3, Am 4, Am 5;;Colombia Ecuador , Venezuela,  Bolivia. At elevations from 1170-3000 m Venezuela: ? m,  Colombia: 1170-2120 m,  Bolivia: 1200-3000 m. Tropical Andes.;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Sematophyllum;pacimoniense;;;(Mitt.) J. Florsch.;Sematophyllum pacimoniense;6;;0;Am 4, Am 5.;;Brasil,  Colombia,  Surinam;;;;;;;;;;;;En Pittier 1936 como Potamium pacimoniense Spruce ex Mitt.
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Sematophyllum;subpinnatum;;;(Brid.) Britt.;Sematophyllum subpinnatum;6;;0;Am 1, Am 2, Am 3, Am 4, Am 5, Afr 2, Afr 3.;;Neotrópico;;;Lignícola, Epífito;Madera en descomposición, Bejuco;;;;;;;;En Pittier 1936, Sematophyllum caespitosum Mitt. 
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Sematophyllum;subscabrum;;;(Müll. Hal.) Mitt.;Sematophyllum subscabrum;6;;0;Am 4.;Venezuela, Colombia y Perú;Colombia y Costa Rica;;;;;;;;;;;;En Pittier 1936 como Rhaphidorrhynchium subscabrum (Müll. Hal.) Broth / Delgadillo et al. 1995 como Rhaphidorrhynchium subscabrum (Müll. Hal.) Broth.)
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Sematophyllum;subsimplex;;;(Hedw.) Mitt.;Sematophyllum subsimplex;6;;0;Am 2, Am 3, Am 4, Am 5, Am 6;;Venezuela,  Colombia,  Ecuador,  Bolivia,  Perú;;;Lignícola, Saxícola;Madera en descomposición # Roca;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Sematophyllum;swartzii;;;(Schwägr.) Welch & H.A. Crum;Sematophyllum swartzii;6;;0;Am 2, Am 3, Am 4.;;Venezuela,  Colombia,  Ecuador,  Bolivia,  Perú;;;;;;;;;;;;En Pittier 1936, como Sematophyllum obliquerostratum Mitt. 
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Sematophyllum;tequendamense;;;(Hampe) Mitt.;Sematophyllum tequendamense;6;;0;Am 4.;Venezuela, Colombia y Perú;Colombia, Perú, Venezuela;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Taxithelium;planum;;;(Brid.) Mitt.;Taxithelium planum;6;;0;Am 1, Am 2, Am 3, Am 4, Am 5, Afr 2.;;Venezuela,  Colombia,  Ecuador,  Bolivia,  Perú;;;Epífito, Saxícola, Lignícola;Base de árbol # Roca # Madera en descomposición;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Trichosteleum;arrectum;;;(Mitt.) A. Jaeger;Trichosteleum arrectum;6;;0;Am 4, Am 5.;;Colombia, Brasil, Venezuela, Bolivia;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Trichosteleum;bolivarense;;;H. Rob.;Trichosteleum bolivarense;6;;0;;;;;;Epífito;Rama, Arbol;Venezuela;VU;D2;León et al. 2013a;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;0;Trichosteleum;fluviale;;;(Mitt.) A. Jaeger;Trichosteleum fluviale;6;;0;Am 2, Am 4.;;Venezuela,  Colombia,  Bolivia,  Perú;;;Epífito;Base de tronco, Arbol;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Trichosteleum;glaziovii;;;(Hampe) W.R. Buck;Trichosteleum glaziovii;6;;0;;;;;;Lignícola;Madera en descomposición;;;;;;;;En Pittier 1936, Sematophyllum glaziovii (Hampe) O. Yano. En troncos podridos de la Selva Nublada
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Trichosteleum;inundatum;;;(Mitt.) A. Jaeger;Trichosteleum inundatum;6;;0;Am 4, Am 5.;;Brasil, Venezuela;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Trichosteleum;papillosissimum;;;(Hampe) Broth.;Trichosteleum papillosissimum;6;;0;;;;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Trichosteleum;papillosum;;;(Hornsch.) A. Jaeger;Trichosteleum papillosum;6;;0;Am 4, Am 5, Afr 2.;;Bolivia, Brasil, Colombia, Ecuador, Guayana Francesa, Guyana, Perú, Surinam, Venezuela;;;;;;;;;;;;
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Trichosteleum;schlimii;;;(Müll. Hal.) R. S. Williams;Trichosteleum schlimii;6;;0;Am 4, Am 5.;;Colombia;;;Lignícola;Madera en descomposición;;;;;;;;En Pittier 1936, como Sematophyllum schlimii (Müll. Hal.) Mitt.
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Trichosteleum;sentosum;;;(Sull.) A. Jaeger;Trichosteleum sentosum;6;;0;Am 3, Am 4, Am 5.;;Belice,  Brasil,  Puerto Rico, Colombia,  Colombia,  Trinidad y Tobago,  Honduras,  Panamá,  Jamaica,  Nicaragua;;;;;;;;;;;;En bosque enano enmarañado y musgoso
Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Trichosteleum;vincentinum;;;(Mitt.) A. Jaeger;Trichosteleum vincentinum;6;;0;Am 3, Am 4.;;;;;Lignícola;Madera en descomposición;;;;;;;;
 Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Wijkia;alstonii;;;(E.B. Bartram) Ireland;Wijkia alstonii;6;;1;Am 4.;Venezuela;;;;;;Venezuela;CR;A2c B2b iii;León et al. 2013a;;;;
 Bryophyta;Bryopsida;Bryidae;Hypnales;Sematophyllaceae;1;Sphagnum;alegrense;;;Warnst.;Sphagnum alegrense;6;;0;Am 4, Am 5.;;Guadalupe, Dominica, Brasil y Venezuela;;;;;;;;;;;;En tropicos.org reportada para Austria, Canadá, China, Colombia, Checoslovakia, Finlandia, Alemania, Groenlandia, España, Estados Unidos.
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;capillifolium;;;(Ehrh.) Hedw.;Sphagnum capillifolium;6;;0;;;Austria, Brasil, Canadá, Chile, Costa Rica, China, Colombia, Ecuador, Alemania, Suecia, Estados Unidos, Venezuela.;;;Terrestre;Suelo;;;;;;;;En Griffin III 1977c como Sphagnum capillaceum (F.W. Weiss) Schrank 
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;capillifolium;var. tenellum;;(Schimp) H. A. Crum;Sphagnum capillifolium var. tenellum;8;;0;;;Canadá,  China,  Checoslovaquia,  Alemania,  Irlanda,  Estados Unidos,  Groenlandia,  Mongolia;;;;;;;;;!Sphagnum capillifolium var. tenellum (Schimp) H. A. Crum Nombre aceptado por Crum 1995 Contri. Univ. Mich. Herb. 11(2): 90.;Ussher M. S. (MERC) ;2012-12-06;
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;capillifolium;var. tenerum;;(Sull. & Lesq. ex Sull.) H. A. Crum;Sphagnum capillifolium var. tenerum;8;;0;;;;;;;;;;;;!Sphagnum capillifolium var. tenerum (Sull. & Lesq. ex Sull.) H. A. Crum Nombre aceptado por Crum 1995 Contri. Univ. Mich. Herb. 11(2): 90.;Ussher M. S. (MERC) ;2012-12-06;En Pittier 1936 como Sphagnum capillaceum var. tenellum Andrews (Schimp.) AL
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;cuspidatum;;;Ehrh ex Hoff;Sphagnum cuspidatum;6;;0;Am 1, Am 4, Am 5, Am 6, Afr 1, As 2, As 3, As 4, Austr 1, Austr 2, Eur, Oc.;;;;;;;;;;;;;;
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;compactum;;;Lam. & DC.;Sphagnum compactum;6;;0;Am 1, Am 4, Afr 1, As 1, Austr 1, Eur.;;;;;;;;;;;;;;
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;falcatulum;;;Besch.;Sphagnum falcatulum;6;;0;;;;;;;;;;;;;;;
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;fraudulentum;;;H.A. Crum;Sphagnum fraudulentum;6;;1;Am 4.;Venezuela;;;;;;Venezuela;VU;D2;Ussher & León 2013;;;;
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;funkiae;;;H. A. Crum;Sphagnum funkiae;6;;1;Am 4.;Venezuela;Venezuela;;;;;Venezuela;VU;D2;Ussher & León 2013;;;;
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;gracilescens;;;Hampe ex Müll. Hal.;Sphagnum gracilescens;6;;0;;;Brasil;;;;;;;;;;;;
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;0;Sphagnum;hertelianum;;;H.A. Crum;Sphagnum hertelianum;6;;1;Am 4.;Venezuela;Venezuela. Endemic to the Guayana Highlands Venezuela.;;;;;;;;;;;;
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;juliforme;;;H. A. Crum;Sphagnum juliforme;6;;1;Am 4.;Venezuela;Venezuela;;;;;Venezuela;VU;D2;Ussher & León 2013;;;;
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;liesneri;;;H.A. Crum;Sphagnum liesneri;6;;1;Am 4.;Venezuela;;;;;;Venezuela;VU;D2;Ussher & León 2013;;;;
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;limbatum;;;Mitt.;Sphagnum limbatum;6;;0;Am 3, Am 4.;;Bolivia,  Colombia,  Costa Rica,  Ecuador,  Guatemala,  México;;;;;;;;;;;;
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;maegdefraui;;;H. Suzuki;Sphagnum maegdefraui;6;;1;Am 4.;Venezuela;Venezuela;;;;;;;;;;;;
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;magellanicum;;;Brid.;Sphagnum magellanicum;6;;0;Am 1, Am 2, Am 4, Am 5, Am 6, Afr 4, As 1, As 2, As 3, As 4, Eur.;;Argentina, Bolivia, Brasil, Canadá, República Dominicana, Chile, China, Colombia, Costa Rica, Checoslovaquia, Ecuador, Finlandia, Francia, Fallando Isla, Alemania, Gran Bretaña, Guyana, Honduras, Nicaragua, Islandia, Panamá, Perú, Sur África, Surinam, Suecia, Estados Unidos, Venezuela;;;;;;;;;;;;
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;1;Sphagnum;meridense;;;(Hampe) Müll. Hal.;Sphagnum meridense;6;;0;Am 1, Am 2, Am 3, Am 4, Am 5;;;;;;;;;;;;;;En Pittier 1936 como Sphagnum coryphaeum Warnst. Y Sphagnum flavicaule Warnst.
Bryophyta;Sphagnopsida;;Sphagnales;Sphagnaceae;0;Sphagnum;negrense;;;Mitt.;Sphagnum negrense;6;;0;Am 4, Am 5.;Venezuela;Venezuela,  Guyana,  Brasil;;;;;;;;;;;;
